200 19900
0 184 208
0 185 79
0 186 358
0 187 115
0 188 72
0 189 130
0 190 301
0 191 260
0 192 19
0 193 239
0 194 26
0 195 189
0 196 275
0 197 34
0 198 158
0 199 82
1 2 294
1 3 359
1 4 271
1 5 300
1 6 218
1 7 240
1 8 370
1 9 364
1 10 223
1 11 395
1 12 374
1 13 248
1 14 32
1 15 263
1 16 283
1 17 191
1 18 293
1 19 192
1 20 258
1 21 316
1 22 322
1 23 158
1 24 175
1 25 292
1 26 348
1 27 152
1 28 32
1 29 222
1 30 138
1 31 141
1 32 255
1 33 31
1 34 99
1 35 126
1 36 282
1 37 317
1 38 317
1 39 203
1 40 232
1 41 140
1 42 197
1 43 205
1 44 339
1 45 181
1 46 19
1 47 222
1 48 371
1 49 263
1 50 13
1 51 180
1 52 178
1 53 286
1 54 337
1 55 305
1 56 177
1 57 284
1 58 8
1 59 160
1 60 58
1 61 145
1 62 300
1 63 312
1 64 128
1 65 351
1 66 37
1 67 361
1 68 219
1 69 306
1 70 164
1 71 50
1 72 45
1 73 312
1 74 206
1 75 335
1 76 92
1 77 176
1 78 156
1 79 15
1 80 390
1 81 169
1 82 194
1 83 119
1 84 6
1 85 83
1 86 23
1 87 183
1 88 318
1 89 31
1 90 294
1 91 375
1 92 127
1 93 194
1 94 287
1 95 254
1 96 144
1 97 275
1 98 215
1 99 314
1 100 180
1 101 378
1 102 363
1 103 176
1 104 289
1 105 120
1 106 111
1 107 333
1 108 295
1 109 218
1 110 347
1 111 236
1 112 338
1 113 92
1 114 354
1 115 344
1 116 174
1 117 329
1 118 126
1 119 92
1 120 311
1 121 19
1 122 18
1 123 37
1 124 164
1 125 256
1 126 291
1 127 259
1 128 131
1 129 105
1 130 172
1 131 262
1 132 34
1 133 86
1 134 390
1 135 274
1 136 205
1 137 52
1 138 206
1 139 51
1 140 269
1 141 104
1 142 286
1 143 207
1 144 196
1 145 240
1 146 150
1 147 321
1 148 168
1 149 227
1 150 364
1 151 78
1 152 197
1 153 382
1 154 66
1 155 361
1 156 237
1 157 356
1 158 171
1 159 319
1 160 12
1 161 343
1 162 133
1 163 397
1 164 380
1 165 122
1 166 271
1 167 185
1 168 173
1 169 28
1 170 235
1 171 41
1 172 84
1 173 73
1 174 199
1 175 231
1 176 264
1 177 348
1 178 151
1 179 31
1 180 174
1 181 115
1 182 60
1 183 323
1 184 48
1 185 125
1 186 283
1 187 236
1 188 33
1 189 5
1 190 155
1 191 44
1 192 299
1 193 287
1 194 41
1 195 279
1 196 360
1 197 263
1 198 63
1 199 84
2 3 242
2 4 249
2 5 124
2 6 325
2 7 273
2 8 323
2 9 155
2 10 136
2 11 222
2 12 258
2 13 166
2 14 348
2 15 372
2 16 177
2 17 270
2 18 19
2 19 302
2 20 104
2 21 254
2 22 334
2 23 108
2 24 360
2 25 329
2 26 7
2 27 198
2 28 321
2 29 285
2 30 109
2 31 135
2 32 299
2 33 192
2 34 377
2 35 99
2 36 316
2 37 253
2 38 372
2 39 190
2 40 360
2 41 107
2 42 11
2 43 217
2 44 225
2 45 310
2 46 140
2 47 1
2 48 179
2 49 110
2 50 254
2 51 282
2 52 315
2 53 139
2 54 390
2 55 227
2 56 68
2 57 348
2 58 24
2 59 388
2 60 232
2 61 133
2 62 123
2 63 82
2 64 276
2 65 51
2 66 180
2 67 191
2 68 255
2 69 151
2 70 332
2 71 214
2 72 258
2 73 295
2 74 382
2 75 82
2 76 204
2 77 121
2 78 34
2 79 383
2 80 182
2 81 288
2 82 216
2 83 97
2 84 26
2 85 205
2 86 323
2 87 93
2 88 152
2 89 298
2 90 33
2 91 335
2 92 382
2 93 107
2 94 16
2 95 258
2 96 109
2 97 196
2 98 400
2 99 363
2 100 298
2 101 284
2 102 177
2 103 155
2 104 178
2 105 110
2 106 188
2 107 333
2 108 183
2 109 222
2 110 267
2 111 364
2 112 61
2 113 83
2 114 12
2 115 86
2 116 287
2 117 286
2 118 131
2 119 391
2 120 184
2 121 115
2 122 277
2 123 117
2 124 221
2 125 293
2 126 326
2 127 329
2 128 40
2 129 326
2 130 291
2 131 337
2 132 161
2 133 19
2 134 44
2 135 338
2 136 129
2 137 183
2 138 222
2 139 311
2 140 356
2 141 89
2 142 226
2 143 16
2 144 171
2 145 238
2 146 54
2 147 9
2 148 123
2 149 184
2 150 351
2 151 258
2 152 298
2 153 228
2 154 327
2 155 70
2 156 72
2 157 252
2 158 350
2 159 111
2 160 129
2 161 240
2 162 399
2 163 289
2 164 211
2 165 394
2 166 178
2 167 291
2 168 177
2 169 400
2 170 153
2 171 132
2 172 88
2 173 378
2 174 100
2 175 258
2 176 167
2 177 153
2 178 218
2 179 242
2 180 336
2 181 169
2 182 99
2 183 185
2 184 396
2 185 377
2 186 206
2 187 67
2 188 229
2 189 155
2 190 129
2 191 309
2 192 394
2 193 79
2 194 198
2 195 156
2 196 73
2 197 375
2 198 46
2 199 201
3 4 326
3 5 198
3 6 284
3 7 13
3 8 128
3 9 383
3 10 222
3 11 294
3 12 135
3 13 40
3 14 135
3 15 22
3 16 160
3 17 186
3 18 158
3 19 155
3 20 162
3 21 363
3 22 173
3 23 342
3 24 117
3 25 253
3 26 251
3 27 63
3 28 283
3 29 400
3 30 218
3 31 355
3 32 374
3 33 216
3 34 107
3 35 252
3 36 365
3 37 391
3 38 264
3 39 92
3 40 373
3 41 38
3 42 338
3 43 60
3 44 29
3 45 72
3 46 81
3 47 188
3 48 257
3 49 191
3 50 342
3 51 371
3 52 153
3 53 66
3 54 312
3 55 270
3 56 318
3 57 162
3 58 284
3 59 152
3 60 113
3 61 101
3 62 107
3 63 39
3 64 268
3 65 165
3 66 290
3 67 233
3 68 155
3 69 105
3 70 276
3 71 80
3 72 142
3 73 213
3 74 139
3 75 170
3 76 237
3 77 171
3 78 357
3 79 45
3 80 361
3 81 250
3 82 15
3 83 66
3 84 315
3 85 327
3 86 287
3 87 184
3 88 40
3 89 170
3 90 336
3 91 153
3 92 222
3 93 394
3 94 191
3 95 90
3 96 110
3 97 32
3 98 274
3 99 265
3 100 136
3 101 149
3 102 296
3 103 278
3 104 314
3 105 34
3 106 399
3 107 150
3 108 156
3 109 356
3 110 194
3 111 69
3 112 157
3 113 161
3 114 134
3 115 24
3 116 87
3 117 372
3 118 159
3 119 78
3 120 141
3 121 46
3 122 182
3 123 362
3 124 391
3 125 324
3 126 51
3 127 101
3 128 355
3 129 276
3 130 365
3 131 43
3 132 25
3 133 260
3 134 320
3 135 290
3 136 245
3 137 270
3 138 39
3 139 352
3 140 177
3 141 184
3 142 20
3 143 334
3 144 344
3 145 105
3 146 357
3 147 382
3 148 76
3 149 67
3 150 12
3 151 168
3 152 113
3 153 193
3 154 130
3 155 103
3 156 69
3 157 132
3 158 203
3 159 375
3 160 8
3 161 119
3 162 17
3 163 384
3 164 378
3 165 288
3 166 273
3 167 174
3 168 158
3 169 263
3 170 126
3 171 334
3 172 398
3 173 97
3 174 219
3 175 342
3 176 154
3 177 127
3 178 275
3 179 181
3 180 194
3 181 286
3 182 349
3 183 306
3 184 31
3 185 30
3 186 360
3 187 99
3 188 161
3 189 163
3 190 25
3 191 120
3 192 281
3 193 42
3 194 103
3 195 211
3 196 281
3 197 327
3 198 384
3 199 390
4 5 141
4 6 109
4 7 324
4 8 139
4 9 158
4 10 94
4 11 32
4 12 311
4 13 221
4 14 306
4 15 91
4 16 14
4 17 192
4 18 39
4 19 271
4 20 222
4 21 68
4 22 230
4 23 272
4 24 181
4 25 344
4 26 296
4 27 300
4 28 225
4 29 289
4 30 355
4 31 387
4 32 170
4 33 233
4 34 370
4 35 111
4 36 374
4 37 31
4 38 34
4 39 64
4 40 188
4 41 80
4 42 95
4 43 50
4 44 300
4 45 352
4 46 140
4 47 265
4 48 143
4 49 131
4 50 87
4 51 316
4 52 150
4 53 316
4 54 187
4 55 282
4 56 212
4 57 35
4 58 134
4 59 388
4 60 323
4 61 88
4 62 374
4 63 44
4 64 320
4 65 343
4 66 155
4 67 245
4 68 325
4 69 140
4 70 260
4 71 64
4 72 219
4 73 354
4 74 113
4 75 70
4 76 306
4 77 205
4 78 334
4 79 400
4 80 335
4 81 20
4 82 316
4 83 36
4 84 288
4 85 54
4 86 270
4 87 51
4 88 88
4 89 3
4 90 38
4 91 363
4 92 90
4 93 11
4 94 6
4 95 361
4 96 305
4 97 112
4 98 158
4 99 230
4 100 204
4 101 17
4 102 293
4 103 22
4 104 323
4 105 6
4 106 44
4 107 180
4 108 162
4 109 329
4 110 179
4 111 48
4 112 301
4 113 46
4 114 83
4 115 188
4 116 100
4 117 352
4 118 190
4 119 187
4 120 354
4 121 227
4 122 149
4 123 395
4 124 237
4 125 107
4 126 308
4 127 93
4 128 218
4 129 65
4 130 322
4 131 21
4 132 81
4 133 167
4 134 395
4 135 355
4 136 124
4 137 38
4 138 134
4 139 285
4 140 318
4 141 313
4 142 332
4 143 218
4 144 310
4 145 366
4 146 357
4 147 9
4 148 270
4 149 146
4 150 196
4 151 223
4 152 372
4 153 296
4 154 170
4 155 160
4 156 2
4 157 77
4 158 253
4 159 172
4 160 141
4 161 126
4 162 144
4 163 173
4 164 292
4 165 90
4 166 128
4 167 367
4 168 79
4 169 213
4 170 251
4 171 397
4 172 125
4 173 134
4 174 214
4 175 387
4 176 100
4 177 171
4 178 395
4 179 369
4 180 316
4 181 142
4 182 143
4 183 240
4 184 38
4 185 264
4 186 399
4 187 391
4 188 340
4 189 203
4 190 114
4 191 32
4 192 329
4 193 258
4 194 205
4 195 172
4 196 347
4 197 284
4 198 139
4 199 26
5 6 96
5 7 341
5 8 22
5 9 173
5 10 27
5 11 235
5 12 159
5 13 126
5 14 357
5 15 153
5 16 46
5 17 273
5 18 247
5 19 140
5 20 112
5 21 284
5 22 4
5 23 62
5 24 226
5 25 343
5 26 217
5 27 340
5 28 375
5 29 145
5 30 197
5 31 131
5 32 268
5 33 95
5 34 14
5 35 358
5 36 120
5 37 61
5 38 251
5 39 93
5 40 233
5 41 277
5 42 280
5 43 391
5 44 354
5 45 236
5 46 96
5 47 399
5 48 108
5 49 342
5 50 138
5 51 171
5 52 177
5 53 141
5 54 185
5 55 2
5 56 84
5 57 1
5 58 293
5 59 10
5 60 97
5 61 41
5 62 140
5 63 364
5 64 136
5 65 105
5 66 274
5 67 207
5 68 165
5 69 124
5 70 252
5 71 350
5 72 352
5 73 131
5 74 340
5 75 305
5 76 366
5 77 387
5 78 303
5 79 26
5 80 280
5 81 392
5 82 148
5 83 8
5 84 85
5 85 332
5 86 362
5 87 120
5 88 332
5 89 254
5 90 129
5 91 28
5 92 295
5 93 220
5 94 344
5 95 382
5 96 324
5 97 169
5 98 188
5 99 40
5 100 244
5 101 39
5 102 389
5 103 195
5 104 121
5 105 281
5 106 99
5 107 87
5 108 219
5 109 353
5 110 64
5 111 99
5 112 296
5 113 211
5 114 106
5 115 380
5 116 143
5 117 67
5 118 99
5 119 26
5 120 273
5 121 179
5 122 54
5 123 167
5 124 398
5 125 349
5 126 148
5 127 273
5 128 117
5 129 287
5 130 313
5 131 360
5 132 278
5 133 301
5 134 154
5 135 398
5 136 133
5 137 204
5 138 36
5 139 352
5 140 108
5 141 99
5 142 50
5 143 355
5 144 262
5 145 107
5 146 335
5 147 4
5 148 126
5 149 385
5 150 29
5 151 398
5 152 164
5 153 34
5 154 116
5 155 161
5 156 382
5 157 215
5 158 386
5 159 98
5 160 101
5 161 298
5 162 9
5 163 330
5 164 150
5 165 114
5 166 280
5 167 235
5 168 317
5 169 315
5 170 186
5 171 376
5 172 366
5 173 187
5 174 331
5 175 227
5 176 293
5 177 217
5 178 230
5 179 370
5 180 153
5 181 210
5 182 367
5 183 316
5 184 196
5 185 34
5 186 29
5 187 177
5 188 248
5 189 14
5 190 227
5 191 301
5 192 263
5 193 187
5 194 230
5 195 364
5 196 301
5 197 109
5 198 198
5 199 217
6 7 376
6 8 383
6 9 145
6 10 341
6 11 121
6 12 27
6 13 119
6 14 366
6 15 195
6 16 300
6 17 335
6 18 347
6 19 109
6 20 254
6 21 263
6 22 304
6 23 287
6 24 243
6 25 33
6 26 135
6 27 208
6 28 211
6 29 35
6 30 70
6 31 397
6 32 216
6 33 385
6 34 297
6 35 325
6 36 183
6 37 66
6 38 252
6 39 117
6 40 162
6 41 144
6 42 238
6 43 188
6 44 262
6 45 203
6 46 382
6 47 161
6 48 89
6 49 280
6 50 221
6 51 342
6 52 94
6 53 125
6 54 229
6 55 336
6 56 109
6 57 363
6 58 143
6 59 271
6 60 397
6 61 164
6 62 267
6 63 212
6 64 101
6 65 116
6 66 88
6 67 235
6 68 133
6 69 291
6 70 351
6 71 294
6 72 34
6 73 140
6 74 81
6 75 295
6 76 294
6 77 14
6 78 55
6 79 383
6 80 245
6 81 276
6 82 324
6 83 339
6 84 352
6 85 152
6 86 274
6 87 12
6 88 66
6 89 369
6 90 282
6 91 14
6 92 84
6 93 100
6 94 178
6 95 136
6 96 215
6 97 265
6 98 370
6 99 347
6 100 108
6 101 273
6 102 192
6 103 141
6 104 12
6 105 224
6 106 388
6 107 258
6 108 237
6 109 394
6 110 240
6 111 82
6 112 221
6 113 115
6 114 372
6 115 172
6 116 219
6 117 197
6 118 135
6 119 284
6 120 165
6 121 368
6 122 298
6 123 201
6 124 68
6 125 75
6 126 336
6 127 234
6 128 291
6 129 258
6 130 133
6 131 350
6 132 130
6 133 324
6 134 91
6 135 93
6 136 148
6 137 30
6 138 350
6 139 336
6 140 23
6 141 141
6 142 369
6 143 244
6 144 256
6 145 340
6 146 367
6 147 26
6 148 137
6 149 54
6 150 261
6 151 253
6 152 21
6 153 158
6 154 5
6 155 88
6 156 184
6 157 341
6 158 322
6 159 27
6 160 198
6 161 6
6 162 328
6 163 279
6 164 329
6 165 370
6 166 371
6 167 28
6 168 399
6 169 321
6 170 364
6 171 22
6 172 61
6 173 284
6 174 217
6 175 268
6 176 224
6 177 183
6 178 293
6 179 312
6 180 236
6 181 154
6 182 164
6 183 209
6 184 263
6 185 169
6 186 296
6 187 399
6 188 61
6 189 169
6 190 377
6 191 210
6 192 174
6 193 304
6 194 88
6 195 55
6 196 274
6 197 58
6 198 82
6 199 224
7 8 330
7 9 397
7 10 245
7 11 343
7 12 281
7 13 13
7 14 210
7 15 56
7 16 148
7 17 55
7 18 367
7 19 335
7 20 160
7 21 82
7 22 143
7 23 374
7 24 202
7 25 39
7 26 372
7 27 214
7 28 159
7 29 300
7 30 23
7 31 285
7 32 156
7 33 62
7 34 291
7 35 381
7 36 72
7 37 324
7 38 204
7 39 1
7 40 321
7 41 1
7 42 343
7 43 153
7 44 13
7 45 105
7 46 208
7 47 160
7 48 159
7 49 126
7 50 95
7 51 318
7 52 159
7 53 237
7 54 291
7 55 361
7 56 227
7 57 215
7 58 174
7 59 338
7 60 66
7 61 149
7 62 222
7 63 221
7 64 210
7 65 64
7 66 201
7 67 233
7 68 387
7 69 5
7 70 234
7 71 259
7 72 357
7 73 128
7 74 11
7 75 369
7 76 232
7 77 170
7 78 129
7 79 342
7 80 247
7 81 175
7 82 259
7 83 6
7 84 11
7 85 102
7 86 366
7 87 190
7 88 268
7 89 91
7 90 127
7 91 333
7 92 239
7 93 300
7 94 106
7 95 1
7 96 363
7 97 258
7 98 233
7 99 349
7 100 262
7 101 18
7 102 208
7 103 170
7 104 98
7 105 170
7 106 139
7 107 329
7 108 340
7 109 219
7 110 271
7 111 186
7 112 393
7 113 81
7 114 143
7 115 355
7 116 134
7 117 108
7 118 144
7 119 1
7 120 151
7 121 222
7 122 286
7 123 389
7 124 121
7 125 391
7 126 341
7 127 35
7 128 248
7 129 126
7 130 384
7 131 62
7 132 95
7 133 143
7 134 231
7 135 192
7 136 264
7 137 321
7 138 121
7 139 155
7 140 139
7 141 343
7 142 293
7 143 131
7 144 23
7 145 35
7 146 86
7 147 109
7 148 95
7 149 181
7 150 109
7 151 245
7 152 3
7 153 346
7 154 185
7 155 123
7 156 288
7 157 126
7 158 158
7 159 136
7 160 203
7 161 93
7 162 149
7 163 297
7 164 187
7 165 331
7 166 41
7 167 50
7 168 252
7 169 113
7 170 157
7 171 390
7 172 55
7 173 49
7 174 73
7 175 29
7 176 83
7 177 158
7 178 89
7 179 177
7 180 338
7 181 198
7 182 21
7 183 340
7 184 95
7 185 206
7 186 15
7 187 383
7 188 283
7 189 124
7 190 70
7 191 37
7 192 216
7 193 218
7 194 285
7 195 354
7 196 100
7 197 325
7 198 355
7 199 351
8 9 37
8 10 111
8 11 293
8 12 43
8 13 159
8 14 365
8 15 24
8 16 242
8 17 122
8 18 112
8 19 370
8 20 11
8 21 261
8 22 391
8 23 303
8 24 356
8 25 148
8 26 317
8 27 290
8 28 382
8 29 40
8 30 359
8 31 18
8 32 207
8 33 176
8 34 302
8 35 112
8 36 275
8 37 179
8 38 66
8 39 178
8 40 167
8 41 177
8 42 70
8 43 162
8 44 335
8 45 34
8 46 137
8 47 128
8 48 107
8 49 200
8 50 98
8 51 117
8 52 61
8 53 40
8 54 371
8 55 368
8 56 187
8 57 287
8 58 209
8 59 168
8 60 278
8 61 167
8 62 137
8 63 36
8 64 294
8 65 38
8 66 147
8 67 120
8 68 168
8 69 213
8 70 297
8 71 335
8 72 341
8 73 318
8 74 96
8 75 275
8 76 351
8 77 232
8 78 3
8 79 9
8 80 31
8 81 52
8 82 126
8 83 43
8 84 91
8 85 48
8 86 362
8 87 277
8 88 335
8 89 170
8 90 396
8 91 164
8 92 336
8 93 132
8 94 152
8 95 181
8 96 121
8 97 298
8 98 301
8 99 289
8 100 62
8 101 197
8 102 175
8 103 2
8 104 115
8 105 270
8 106 229
8 107 17
8 108 53
8 109 183
8 110 26
8 111 83
8 112 234
8 113 103
8 114 78
8 115 324
8 116 150
8 117 391
8 118 152
8 119 36
8 120 161
8 121 147
8 122 200
8 123 48
8 124 230
8 125 303
8 126 229
8 127 350
8 128 200
8 129 129
8 130 190
8 131 214
8 132 277
8 133 364
8 134 167
8 135 391
8 136 185
8 137 395
8 138 360
8 139 237
8 140 177
8 141 385
8 142 272
8 143 10
8 144 39
8 145 301
8 146 285
8 147 140
8 148 291
8 149 36
8 150 176
8 151 51
8 152 182
8 153 327
8 154 51
8 155 363
8 156 229
8 157 279
8 158 265
8 159 380
8 160 359
8 161 54
8 162 145
8 163 235
8 164 370
8 165 312
8 166 178
8 167 106
8 168 258
8 169 137
8 170 343
8 171 35
8 172 73
8 173 166
8 174 396
8 175 111
8 176 66
8 177 233
8 178 250
8 179 308
8 180 268
8 181 377
8 182 359
8 183 2
8 184 303
8 185 361
8 186 364
8 187 83
8 188 239
8 189 228
8 190 15
8 191 197
8 192 234
8 193 159
8 194 31
8 195 155
8 196 70
8 197 208
8 198 260
8 199 328
9 10 296
9 11 202
9 12 314
9 13 368
9 14 319
9 15 261
9 16 30
9 17 336
9 18 93
9 19 232
9 20 244
9 21 313
9 22 208
9 23 154
9 24 314
9 25 63
9 26 114
9 27 229
9 28 97
9 29 352
9 30 57
9 31 111
9 32 100
9 33 242
9 34 270
9 35 82
9 36 396
9 37 291
9 38 290
9 39 255
9 40 170
9 41 137
9 42 9
9 43 83
9 44 105
9 45 327
9 46 296
9 47 134
9 48 215
9 49 388
9 50 365
9 51 58
9 52 252
9 53 125
9 54 211
9 55 165
9 56 139
9 57 324
9 58 394
9 59 235
9 60 227
9 61 2
9 62 346
9 63 326
9 64 195
9 65 167
9 66 7
9 67 190
9 68 57
9 69 248
9 70 396
9 71 227
9 72 385
9 73 4
9 74 261
9 75 41
9 76 283
9 77 156
9 78 174
9 79 49
9 80 96
9 81 91
9 82 106
9 83 347
9 84 167
9 85 268
9 86 64
9 87 305
9 88 191
9 89 9
9 90 91
9 91 369
9 92 362
9 93 36
9 94 294
9 95 156
9 96 202
9 97 252
9 98 345
9 99 211
9 100 52
9 101 292
9 102 389
9 103 36
9 104 248
9 105 249
9 106 76
9 107 82
9 108 357
9 109 201
9 110 130
9 111 52
9 112 243
9 113 235
9 114 350
9 115 361
9 116 102
9 117 365
9 118 265
9 119 244
9 120 373
9 121 356
9 122 212
9 123 334
9 124 343
9 125 57
9 126 41
9 127 97
9 128 260
9 129 337
9 130 259
9 131 311
9 132 229
9 133 247
9 134 298
9 135 76
9 136 95
9 137 325
9 138 157
9 139 51
9 140 126
9 141 286
9 142 54
9 143 320
9 144 72
9 145 356
9 146 281
9 147 125
9 148 320
9 149 97
9 150 368
9 151 245
9 152 4
9 153 131
9 154 130
9 155 347
9 156 187
9 157 171
9 158 395
9 159 46
9 160 59
9 161 253
9 162 309
9 163 287
9 164 99
9 165 206
9 166 314
9 167 145
9 168 131
9 169 22
9 170 148
9 171 208
9 172 259
9 173 201
9 174 79
9 175 330
9 176 108
9 177 359
9 178 54
9 179 380
9 180 8
9 181 373
9 182 176
9 183 11
9 184 103
9 185 305
9 186 309
9 187 241
9 188 27
9 189 303
9 190 287
9 191 86
9 192 107
9 193 147
9 194 324
9 195 205
9 196 352
9 197 238
9 198 302
9 199 34
10 11 211
10 12 49
10 13 193
10 14 70
10 15 201
10 16 272
10 17 351
10 18 309
10 19 182
10 20 357
10 21 288
10 22 189
10 23 329
10 24 63
10 25 152
10 26 384
10 27 319
10 28 60
10 29 224
10 30 346
10 31 315
10 32 62
10 33 383
10 34 373
10 35 208
10 36 258
10 37 130
10 38 112
10 39 95
10 40 31
10 41 145
10 42 258
10 43 79
10 44 338
10 45 327
10 46 279
10 47 161
10 48 229
10 49 187
10 50 342
10 51 185
10 52 26
10 53 83
10 54 66
10 55 40
10 56 234
10 57 49
10 58 359
10 59 245
10 60 224
10 61 256
10 62 111
10 63 286
10 64 190
10 65 84
10 66 45
10 67 47
10 68 213
10 69 156
10 70 94
10 71 243
10 72 301
10 73 351
10 74 321
10 75 190
10 76 229
10 77 151
10 78 350
10 79 57
10 80 338
10 81 243
10 82 242
10 83 315
10 84 325
10 85 259
10 86 355
10 87 110
10 88 259
10 89 265
10 90 355
10 91 82
10 92 120
10 93 17
10 94 319
10 95 261
10 96 100
10 97 364
10 98 307
10 99 264
10 100 119
10 101 400
10 102 106
10 103 371
10 104 302
10 105 378
10 106 112
10 107 130
10 108 129
10 109 13
10 110 187
10 111 18
10 112 256
10 113 380
10 114 284
10 115 180
10 116 190
10 117 238
10 118 290
10 119 48
10 120 54
10 121 196
10 122 81
10 123 125
10 124 212
10 125 400
10 126 385
10 127 312
10 128 315
10 129 244
10 130 127
10 131 385
10 132 243
10 133 233
10 134 308
10 135 97
10 136 162
10 137 19
10 138 226
10 139 242
10 140 32
10 141 364
10 142 211
10 143 287
10 144 295
10 145 95
10 146 18
10 147 36
10 148 284
10 149 259
10 150 83
10 151 338
10 152 54
10 153 116
10 154 14
10 155 218
10 156 115
10 157 399
10 158 81
10 159 381
10 160 242
10 161 207
10 162 365
10 163 36
10 164 39
10 165 224
10 166 132
10 167 153
10 168 243
10 169 310
10 170 346
10 171 226
10 172 225
10 173 157
10 174 64
10 175 72
10 176 203
10 177 81
10 178 107
10 179 86
10 180 292
10 181 190
10 182 375
10 183 345
10 184 257
10 185 389
10 186 162
10 187 371
10 188 339
10 189 242
10 190 303
10 191 180
10 192 49
10 193 219
10 194 167
10 195 39
10 196 43
10 197 251
10 198 143
10 199 285
11 12 160
11 13 89
11 14 62
11 15 336
11 16 197
11 17 125
11 18 7
11 19 399
11 20 157
11 21 114
11 22 36
11 23 48
11 24 255
11 25 363
11 26 345
11 27 111
11 28 303
11 29 58
11 30 33
11 31 241
11 32 252
11 33 287
11 34 372
11 35 300
11 36 105
11 37 90
11 38 290
11 39 147
11 40 340
11 41 385
11 42 383
11 43 51
11 44 73
11 45 44
11 46 387
11 47 269
11 48 120
11 49 393
11 50 219
11 51 277
11 52 58
11 53 254
11 54 276
11 55 264
11 56 216
11 57 220
11 58 326
11 59 70
11 60 278
11 61 310
11 62 310
11 63 81
11 64 196
11 65 233
11 66 332
11 67 301
11 68 323
11 69 221
11 70 47
11 71 214
11 72 157
11 73 30
11 74 265
11 75 229
11 76 25
11 77 251
11 78 49
11 79 145
11 80 195
11 81 219
11 82 373
11 83 205
11 84 73
11 85 248
11 86 68
11 87 240
11 88 20
11 89 394
11 90 310
11 91 249
11 92 255
11 93 171
11 94 329
11 95 51
11 96 356
11 97 260
11 98 351
11 99 230
11 100 32
11 101 349
11 102 43
11 103 189
11 104 378
11 105 307
11 106 369
11 107 355
11 108 109
11 109 370
11 110 99
11 111 304
11 112 188
11 113 71
11 114 108
11 115 212
11 116 270
11 117 127
11 118 4
11 119 241
11 120 72
11 121 265
11 122 89
11 123 327
11 124 387
11 125 17
11 126 377
11 127 342
11 128 228
11 129 279
11 130 123
11 131 260
11 132 227
11 133 166
11 134 400
11 135 205
11 136 24
11 137 368
11 138 159
11 139 133
11 140 289
11 141 209
11 142 388
11 143 77
11 144 231
11 145 95
11 146 240
11 147 52
11 148 173
11 149 243
11 150 293
11 151 245
11 152 107
11 153 381
11 154 123
11 155 94
11 156 350
11 157 99
11 158 387
11 159 129
11 160 377
11 161 110
11 162 388
11 163 203
11 164 227
11 165 339
11 166 359
11 167 250
11 168 259
11 169 69
11 170 382
11 171 147
11 172 229
11 173 321
11 174 175
11 175 59
11 176 15
11 177 15
11 178 63
11 179 140
11 180 257
11 181 355
11 182 336
11 183 316
11 184 335
11 185 58
11 186 361
11 187 236
11 188 108
11 189 347
11 190 365
11 191 84
11 192 56
11 193 304
11 194 238
11 195 234
11 196 243
11 197 149
11 198 84
11 199 101
12 13 169
12 14 17
12 15 247
12 16 350
12 17 338
12 18 22
12 19 360
12 20 304
12 21 388
